"pixel","bs_sic_x10","sicDate","x","y","lon","lat"
9,0,"20231109",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20231109",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20231109",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20231109",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20231109",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0,"20231109",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0,"20231109",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0,"20231109",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0,"20231110",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0,"20231110",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0,"20231110",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0,"20231110",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0,"20231110",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0,"20231110",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0,"20231110",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0,"20231110",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0,"20231110",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20231110",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20231110",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20231110",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20231110",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0,"20231110",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0,"20231110",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0,"20231110",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0,"20231111",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0,"20231111",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0,"20231111",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0,"20231111",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0,"20231111",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0,"20231111",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0,"20231111",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0,"20231111",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0,"20231111",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20231111",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20231111",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20231111",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20231111",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0,"20231111",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0,"20231111",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0,"20231111",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0,"20231112",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0,"20231112",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0,"20231112",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0,"20231112",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0,"20231112",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0,"20231112",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0,"20231112",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0,"20231112",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0,"20231112",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20231112",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20231112",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20231112",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20231112",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0,"20231112",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0,"20231112",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0,"20231112",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0,"20231113",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0,"20231113",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0,"20231113",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0,"20231113",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0,"20231113",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0,"20231113",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0,"20231113",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0,"20231113",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0,"20231113",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20231113",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20231113",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20231113",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20231113",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0,"20231113",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0,"20231113",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0,"20231113",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0,"20231114",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0,"20231114",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0,"20231114",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0,"20231114",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0,"20231114",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0,"20231114",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0,"20231114",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0,"20231114",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0,"20231114",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20231114",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20231114",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20231114",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20231114",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0,"20231114",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0,"20231114",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0,"20231114",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0,"20231115",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0,"20231115",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0,"20231115",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0,"20231115",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0,"20231115",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0,"20231115",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0,"20231115",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0,"20231115",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0,"20231115",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20231115",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20231115",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20231115",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20231115",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0,"20231115",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0,"20231115",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0,"20231115",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0,"20231116",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0,"20231116",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0,"20231116",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0,"20231116",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0,"20231116",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0,"20231116",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0,"20231116",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0,"20231116",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0,"20231116",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20231116",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20231116",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20231116",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20231116",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0,"20231116",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0,"20231116",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0,"20231116",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0,"20231117",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0,"20231117",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0,"20231117",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0,"20231117",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0,"20231117",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0,"20231117",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0,"20231117",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0,"20231117",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0,"20231117",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20231117",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20231117",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20231117",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20231117",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0,"20231117",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0,"20231117",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0,"20231117",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0,"20231118",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0,"20231118",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0,"20231118",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0,"20231118",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0,"20231118",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0,"20231118",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0,"20231118",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0,"20231118",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0,"20231118",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20231118",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20231118",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20231118",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20231118",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0,"20231118",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0,"20231118",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0,"20231118",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0,"20231119",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0,"20231119",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0,"20231119",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0,"20231119",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0,"20231119",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0,"20231119",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0,"20231119",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0,"20231119",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0,"20231119",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20231119",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20231119",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20231119",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20231119",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0,"20231119",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0,"20231119",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0,"20231119",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0,"20231120",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0,"20231120",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0,"20231120",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0,"20231120",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0,"20231120",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0,"20231120",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0,"20231120",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0,"20231120",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0,"20231120",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20231120",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20231120",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20231120",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20231120",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0,"20231120",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0,"20231120",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0,"20231120",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0,"20231121",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0,"20231121",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0,"20231121",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0,"20231121",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0,"20231121",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0,"20231121",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0,"20231121",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0,"20231121",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0,"20231121",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20231121",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20231121",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20231121",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20231121",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0,"20231121",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0,"20231121",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0,"20231121",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0,"20231122",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0,"20231122",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0,"20231122",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0,"20231122",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0,"20231122",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
6,0,"20231122",-2384856.75697129,1836212.53598877,-172.59435311,62.72215112
7,0,"20231122",-2362273.2266533,1837825.46139676,-172.8825669,62.86960264
8,0,"20231122",-2360660.30422343,1863635.10199659,-173.28950402,62.74155685
9,0,"20231122",-2360660.49126403,1887831.6767689,-173.64949576,62.61006956
10,0,"20231122",-2360660.70709449,1915254.47383621,-174.05315813,62.45989067
11,0,"20231122",-2384857.35645813,1912834.99988579,-173.73223588,62.30883546
12,0,"20231122",-2411473.67853153,1911222.11307978,-173.39871039,62.13615455
13,0,"20231122",-2437718.94307876,1911445.37777676,-173.10043038,61.95538139
14,0,"20231122",-2436850.54348647,1886267.69227442,-172.74200852,62.09614904
15,0,"20231122",-2437718.54562213,1861958.28583285,-172.37301955,62.21931067
16,0,"20231122",-2437718.35458089,1837648.8452323,-172.01043703,62.34746359
1,0,"20231123",-2411473.49214075,1887832.07778017,-173.05576386,62.26233287
2,0,"20231123",-2387276.81855827,1887831.88592911,-173.33655426,62.42821497
3,0,"20231123",-2411473.28765688,1862022.41413149,-172.67357453,62.40051872
4,0,"20231123",-2387276.60372308,1860409.10948969,-172.9293529,62.57602444
5,0,"20231123",-2410666.53116729,1837019.28420536,-172.3087748,62.53892242
